date,call_count
09-07-2025,570
10-07-2025,604
11-07-2025,452
12-07-2025,45
13-07-2025,20
14-07-2025,738
15-07-2025,577
16-07-2025,591
17-07-2025,554
18-07-2025,450
19-07-2025,40
20-07-2025,13
21-07-2025,594
22-07-2025,905
23-07-2025,740
24-07-2025,724
25-07-2025,753
26-07-2025,28
27-07-2025,76
28-07-2025,798
29-07-2025,826
30-07-2025,856
31-07-2025,710
01-08-2025,767
02-08-2025,9
03-08-2025,96
04-08-2025,826
05-08-2025,756
06-08-2025,806
07-08-2025,841
08-08-2025,676
09-08-2025,44
10-08-2025,12
11-08-2025,748
12-08-2025,969
13-08-2025,797
14-08-2025,729
15-08-2025,738
16-08-2025,23
17-08-2025,10
18-08-2025,771
19-08-2025,783
20-08-2025,776
21-08-2025,722
22-08-2025,525
23-08-2025,11
24-08-2025,6
25-08-2025,833
26-08-2025,999
27-08-2025,886
28-08-2025,733
29-08-2025,498
30-08-2025,17
31-08-2025,3
02-09-2025,717
03-09-2025,620
04-09-2025,625
05-09-2025,568
06-09-2025,7
07-09-2025,6
08-09-2025,893
09-09-2025,843
10-09-2025,638
11-09-2025,662
12-09-2025,615
13-09-2025,13
14-09-2025,9
15-09-2025,579
16-09-2025,568
17-09-2025,615
18-09-2025,707
19-09-2025,508
20-09-2025,6
22-09-2025,732
23-09-2025,843
24-09-2025,743
25-09-2025,698
26-09-2025,476
27-09-2025,7
28-09-2025,5
29-09-2025,574
30-09-2025,656
01-10-2025,567
02-10-2025,663
03-10-2025,627
04-10-2025,28
05-10-2025,97
06-10-2025,767
07-10-2025,766
08-10-2025,753
09-10-2025,710
10-10-2025,645
11-10-2025,25
12-10-2025,1
13-10-2025,731
14-10-2025,833
15-10-2025,630
16-10-2025,564
17-10-2025,779
18-10-2025,39
19-10-2025,50
20-10-2025,680
21-10-2025,836
22-10-2025,742
23-10-2025,767
24-10-2025,806
25-10-2025,178
26-10-2025,80
27-10-2025,810
28-10-2025,913
29-10-2025,828
30-10-2025,761
31-10-2025,679
01-11-2025,31
02-11-2025,18
03-11-2025,765
04-11-2025,746
05-11-2025,792
06-11-2025,675
07-11-2025,575
08-11-2025,83
09-11-2025,19
10-11-2025,708
11-11-2025,693
12-11-2025,706
13-11-2025,605
14-11-2025,580
15-11-2025,34
16-11-2025,7
17-11-2025,599
18-11-2025,594
19-11-2025,611
20-11-2025,738
21-11-2025,677
22-11-2025,55
23-11-2025,13
24-11-2025,817
25-11-2025,832
26-11-2025,754
28-11-2025,333
29-11-2025,16
30-11-2025,38
01-12-2025,827
02-12-2025,771
03-12-2025,833
04-12-2025,813
05-12-2025,824
06-12-2025,31
07-12-2025,39
08-12-2025,832
09-12-2025,778
10-12-2025,835
11-12-2025,801
12-12-2025,834
13-12-2025,54
14-12-2025,7
